RowNum,StartTime,EndTime,ViewsGained,FollowersGained,MaxViewers,AverageViewers,FollowersPerHour,ViewsPerHour,LengthMinutes,GamesPlayed
149,2017-01-12 23:15:00.000,2017-01-13 02:15:00.000,11611,108,7856,7193,8.31,893.15,195,The Binding of Isaac: Afterbirth|Dead by Daylight|The Jackbox Party Pack 3
150,2017-01-11 22:15:00.000,2017-01-12 01:30:00.000,11000,106,8179,6963,7.57,785.71,210,The Binding of Isaac: Afterbirth|Disc Jam|Gang Beasts
151,2017-01-09 23:15:00.000,2017-01-10 02:00:00.000,9391,119,9229,7986,9.92,782.58,180,The Binding of Isaac: Afterbirth|Disc Jam|London 2012 - The Official Video Game of the Olympic Games
152,2017-01-08 21:30:00.000,2017-01-09 00:30:00.000,12764,129,4963,4648,9.92,981.85,195,The Witcher 3: Wild Hunt
153,2017-01-05 23:15:00.000,2017-01-06 02:15:00.000,8497,117,9190,7994,9.00,653.62,195,The Binding of Isaac: Afterbirth|Gang Beasts|The Jackbox Party Pack 3
154,2017-01-04 22:15:00.000,2017-01-05 01:00:00.000,17681,172,9636,7779,14.33,1473.42,180,The Binding of Isaac: Afterbirth|Redout|Pictionary
155,2017-01-04 00:30:00.000,2017-01-04 04:30:00.000,34987,1581,17249,14806,93.00,2058.06,255,The Binding of Isaac: Afterbirth
156,2017-01-02 23:15:00.000,2017-01-03 02:15:00.000,12236,118,8869,7483,9.08,941.23,195,The Binding of Isaac: Rebirth|Space Beast Terror Fright|Duck Game
157,2017-01-01 21:15:00.000,2017-01-02 00:30:00.000,12084,290,7937,6316,20.71,863.14,210,The Binding of Isaac: Rebirth
158,2016-12-29 23:15:00.000,2016-12-30 02:15:00.000,8856,120,7418,6714,9.23,681.23,195,The Binding of Isaac: Rebirth|Hearthstone|Ultimate Chicken Horse|The Jackbox Party Pack 3
159,2016-12-28 22:15:00.000,2016-12-29 01:00:00.000,8027,68,7545,6668,5.67,668.92,180,The Binding of Isaac: Rebirth|The Jackbox Party Pack 3|Pictionary
160,2016-12-26 23:15:00.000,2016-12-27 02:15:00.000,7584,100,7737,6746,7.69,583.38,195,The Binding of Isaac: Rebirth
